rowid,pl_hostname,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_ttvflag,pl_kepflag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend
547,HD 189733,Radial Velocity,1,2.21857578,0.0000008,-0.0000008,0,0.03142,0.00052,-0.00052,0,,,,,1.15,0.039,-0.039,0,,,,,1.151,0.038,-0.038,0,1.004,0.089,-0.089,0,85.78,0.25,-0.25,0,0,0,5050,50,-50,0,0,0.84,0.04,-0.04,0,0,0.75,0.03,-0.03,0,0
548,HD 190360,Radial Velocity,2,2915,29,-29,0,4.01,0.23,-0.23,0,0.313,0.019,-0.019,0,,,,,1.56,0.13,-0.13,0,,,,,,,,,,,,,0,0,5590,50,-50,0,0,0.96,,,0,0,1.13,,,0,0
549,HD 190360,Radial Velocity,2,17.111,0.0048,-0.0048,0,0.1304,0.0075,-0.0075,0,0.237,0.082,-0.082,0,,,,,0.06,0.0076,-0.0076,0,,,,,,,,,,,,,0,0,5590,50,-50,0,0,0.96,,,0,0,1.13,,,0,0
550,HD 190647,Radial Velocity,1,1038.1,4.9,-4.9,0,2.07,0.06,-0.06,0,0.18,0.02,-0.02,0,,,,,1.9,0.06,-0.06,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
551,HD 190984,Radial Velocity,1,4885,1600,-1600,0,5.5,,,0,0.57,0.1,-0.1,0,,,,,3.1,,,0,,,,,,,,,,,,,0,0,5988,25,-25,0,0,0.91,,,0,0,1.53,,,0,0
552,HD 192263,Radial Velocity,1,24.3556,0.0046,-0.0046,0,0.1532,0.0088,-0.0088,0,0.055,0.039,-0.039,0,,,,,0.641,0.061,-0.061,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
553,HD 192310,Radial Velocity,2,74.72,0.1,-0.1,0,0.32,0.005,-0.005,0,0.13,0.04,-0.04,0,,,,,0.05317,0.00283,-0.00283,0,,,,,,,,,90,,,0,0,0,,,,,,,,,,,,,,,
554,HD 192310,Radial Velocity,2,525.8,9.2,-9.2,0,1.18,0.025,-0.025,0,0.32,0.11,-0.11,0,,,,,0.07551,0.01573,-0.01573,0,,,,,,,,,90,,,0,0,0,,,,,,,,,,,,,,,
555,HD 192699,Radial Velocity,1,345.53,1.77,-1.63,0,1.15,0.02,-0.03,0,0.129,0.029,-0.06,0,,,,,2.4,0.15,-0.21,0,,,,,,,,,,,,,0,0,5220,44,-44,0,0,1.68,0.12,-0.12,0,0,3.9,0.06,-0.06,0,0
556,HD 195019,Radial Velocity,1,18.20132,0.00039,-0.00039,0,0.1388,0.008,-0.008,0,0.0138,0.0044,-0.0044,0,,,,,3.69,0.3,-0.3,0,,,,,,,,,,,,,0,0,5788,,,0,0,1.07,,,0,0,,,,,0
